game_id,round_id,role_id,pass1_matrix_json,pass1_reasoning
G001,3,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Defensive"",""tactic"":""Defensive disclosure"",""scale"":""GRS"",""level"":""High""},
  ""P3"": {""row"":""Selective / Framing"",""col"":""Opportunistic"",""tactic"":""Misframing"",""scale"":""Mach-IV"",""level"":""Moderate""},
  ""P4"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Truthful misdirection"",""scale"":""Mach-IV"",""level"":""High""},
  ""P5"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""}
}","P2: With three consecutive FAILs and P4 already trying to pin blame on them, P2 should shift from pure facts to Defensive disclosure—tight, necessary defenses anchored to vote/team history. P3: After being on the Round 2 failed team and now on Round 3’s failed pair with P1, P3 should pivot from cherry-picking to Misframing by reframing the three fails as ""team-construction errors"" to keep their own culpability ambiguous. P4: As a high-Mach player tied to Quest 1’s fail, P4 should use Truthful misdirection—accurately cite the damning overlap patterns (especially P3’s presence) while steering attention away from P4’s own inclusion in the first fail. P5: With their Round 2 Bayesian hedging now sharpened by an additional fail (and P3 appearing on multiple fails), P5 should move to Evidence sharing to publicly commit to a tighter suspect set and push cleaner teams."
G002,3,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""Moderate""},
  ""P3"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""},
  ""P4"": {""row"":""Selective / Framing"",""col"":""Opportunistic"",""tactic"":""Misframing"",""scale"":""Mach-IV"",""level"":""High""},
  ""P5"": {""row"":""Selective / Framing"",""col"":""Adversarial"",""tactic"":""Strategic omission"",""scale"":""Mach-IV"",""level"":""High""}
}","P2: After a third fail involving P4 again, shift from justifying to laying out the clean set-based implication that P4 and P5 jointly cover all fails. P3: Maintain evidence-driven leadership by explicitly chaining the three failed team sets to a strongest-fit pair read (P4/P5) and recommending exclusion rules. P4: With P4 now tied to two failed quests, reframe Round 3 as a 'P1-caused repeat' narrative and downplay the multi-round coverage argument that points at P4/P5. P5: Keep pressure on alternative suspects by omitting that every fail contains either P4 or P5 and instead spotlight that multiple goods voted yes on failing teams to imply a good saboteur possibility."
G003,3,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""Moderate""},
  ""P3"": {""row"":""Selective / Framing"",""col"":""Cooperative"",""tactic"":""Bayesian hedging"",""scale"":""GRS"",""level"":""Moderate""},
  ""P4"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Misleading emphasis"",""scale"":""Mach-IV"",""level"":""High""},
  ""P5"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Truthful misdirection"",""scale"":""Mach-IV"",""level"":""High""}
}","P2: With a third fail adding strong new public evidence, P2 should stay factual and consolidate the voting/roster patterns into a clear suspect case.
P3: After P1’s P1/P4 team also fails, P3 should hedge probabilistically to keep flexibility between P4/P5 while proposing the next test team structure.
P4: Being on two failed 2-person quests makes P4 highly exposed, so they should spotlight true-but-minor alternative angles (e.g., who enabled teams) to dilute the direct roster-based read.
P5: With prior strategic omission as an anchor and their team failing in Round 2, P5 should lean into accurate observations that subtly steer blame onto Good decision-makers rather than the evil pair."
G004,3,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""},
  ""P3"": {""row"":""Selective / Framing"",""col"":""Opportunistic"",""tactic"":""Misframing"",""scale"":""Mach-IV"",""level"":""Moderate""},
  ""P4"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Misleading emphasis"",""scale"":""Mach-IV"",""level"":""High""},
  ""P5"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Perspective-taking"",""scale"":""GRS"",""level"":""Moderate""}
}","P2: With three straight FAILs, high-GRS P2 should double down on crisp, concrete vote/team intersections to force narrowing rather than vibes.
P3: After being on the Round 2 FAIL and Round 3 FAIL teams, P3 needs an opportunistic reframing of blame (e.g., leader-choice and team-size narratives) to dilute direct culpability without hard lies.
P4: With P4 implicated by Quest 1, a high-Mach approach is to aggressively spotlight true but selectively chosen details (like P1 approving a failing P1+P3 team) to steer heat onto others and away from P4.
P5: As the Round 2 leader of a failed 3-person quest, P5 benefits from acknowledging reasonable suspicions and exploring alternatives to reduce blowback before committing to a tighter suspect pool."
G005,3,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""},
  ""P3"": {""row"":""Counterfactual"",""col"":""Opportunistic"",""tactic"":""Reverse accusations"",""scale"":""Mach-IV"",""level"":""Low""},
  ""P4"": {""row"":""Selective / Framing"",""col"":""Opportunistic"",""tactic"":""Misframing"",""scale"":""Mach-IV"",""level"":""Moderate""},
  ""P5"": {""row"":""Selective / Framing"",""col"":""Cooperative"",""tactic"":""Bayesian hedging"",""scale"":""GRS"",""level"":""Moderate""}
}","P2: With three straight fails, high-GRS P2 should double down on structured public facts to lock in a suspect set and drive the next team composition.
P3: After being on a failed quest again and already clashing with P2, low Mach-IV P3 should keep bouncing suspicion back onto accusers rather than craft a subtle alternative theory.
P4: With early heat from Quest 1, moderate Mach-IV P4 should reframe the narrative around leadership/voting patterns (not quest participation) to dilute the direct inference that P4 must have sabotaged.
P5: As a moderate-GRS good player now implicated by two failures (Quest 2 lead + universal approvals), P5 should hedge probabilistically to stay credible while repositioning toward excluding the most likely evil pair."
G006,3,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Rational justification"",""scale"":""GRS"",""level"":""Low""},
  ""P3"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Truthful misdirection"",""scale"":""Mach-IV"",""level"":""High""},
  ""P4"": {""row"":""Selective / Framing"",""col"":""Opportunistic"",""tactic"":""Misframing"",""scale"":""Mach-IV"",""level"":""High""},
  ""P5"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""}
}","P2: After a third consecutive fail, Low-GRS P2 should move from empathizing to clearly explaining their vote/reads to avoid being spun by louder players.
P3: With direct involvement in the Round 3 failed quest, high-Mach P3 should lean on accurate timeline/vote facts that redirect suspicion toward the more ""obvious"" evil pairings without outright lying.
P4: Under heat from Round 2 and with another fail on the board, high-Mach P4 benefits from reframing the game around ""P5 repeatedly approves bad teams"" and ""P1’s repeated no votes"" to dilute the P4-centered narrative.
P5: As Round 3 leader of a failed 2-person quest including P3, High-GRS P5 should anchor discussion in concrete evidence (team compositions + outcomes) to hard-commit to P3 as primary suspect while staying coherent."
G007,3,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""},
  ""P3"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Truthful misdirection"",""scale"":""Mach-IV"",""level"":""High""},
  ""P4"": {""row"":""Selective / Framing"",""col"":""Opportunistic"",""tactic"":""False consensus"",""scale"":""Mach-IV"",""level"":""High""},
  ""P5"": {""row"":""Careless-to-truth"",""col"":""Cooperative"",""tactic"":""Over-explaining"",""scale"":""GRS"",""level"":""Low""}
}","P2: With three straight fails and P2 having been on a failed quest with P4/P5, High-GRS play is to keep structured Evidence sharing that narrows suspects using vote/team/outcome constraints.
P3: After leading a Round 3 failed 2-person team with P5, P3 should pivot from pure deflection into Truthful misdirection—acknowledge obvious facts while steering focus onto P5’s leadership and prior accusations.
P4: As a highly suspected leader of the Round 2 failed team, P4 benefits from False consensus to pressure the table into a simplified ‘everyone agrees P5/P3 are the problem’ narrative and dilute attention on P4.
P5: As Round 3 leader on a failed 2-person mission with P3, low-GRS good play tends to Over-explaining—dumping process details to appear earnest while struggling to cleanly accuse the correct spy."
G008,3,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""},
  ""P3"": {""row"":""Selective / Framing"",""col"":""Opportunistic"",""tactic"":""Misframing"",""scale"":""Mach-IV"",""level"":""High""},
  ""P4"": {""row"":""Selective / Framing"",""col"":""Opportunistic"",""tactic"":""Cherry-picking"",""scale"":""Mach-IV"",""level"":""High""},
  ""P5"": {""row"":""Transparent"",""col"":""Defensive"",""tactic"":""Defensive disclosure"",""scale"":""GRS"",""level"":""Low""}
}","P2: With three straight fails and high GRS, they should stay structured and commit to crisp public deductions that narrow pairs and pressure specific suspects. P3: As an evil on the failed R3 team, shift from R2 deflection into subtle misframing to recast the pattern (""leaders/yes-voters"" narratives) and divert heat from self. P4: After R2 failure under their leadership, use cherry-picking to over-weight convenient vote/team details (e.g., P1’s no votes, P5’s involvement) while minimizing leader culpability and partner links. P5: Being the current leader of another failed quest and low GRS, they need minimal, calm defensive disclosure (why they picked P3, what they believed) to avoid spiraling into credibility-damaging over-explaining."
G009,3,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""},
  ""P3"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Truthful misdirection"",""scale"":""Mach-IV"",""level"":""High""},
  ""P4"": {""row"":""Selective / Framing"",""col"":""Opportunistic"",""tactic"":""Cherry-picking"",""scale"":""Mach-IV"",""level"":""Moderate""},
  ""P5"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Rational justification"",""scale"":""GRS"",""level"":""High""}
}","P2: With three consecutive fails and P2 having approved the Round 3 P3/P5 team, High-GRS play is to stay structured and publicly enumerate the narrowing suspect sets rather than hedging. P3: After being on the Round 3 failed team, High Mach-IV benefits from sounding pro-social while steering blame toward vote patterns/""process"" (true facts) instead of the obvious implication on P3. P4: Since suspicion is already on P4 from Round 2 leadership, a Moderate Mach-IV opportunistic move is to highlight only the most favorable snippets (e.g., P1 as repeated no-voter, P5 leading a failed team) while downplaying P4’s own failed lead. P5: As the Round 3 leader whose team failed, P5 must credibly explain the selection logic and update plan going forward, shifting from probabilistic hedges to clear rationale to preserve trust."
G010,3,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""},
  ""P3"": {""row"":""Selective / Framing"",""col"":""Opportunistic"",""tactic"":""Misframing"",""scale"":""Mach-IV"",""level"":""High""},
  ""P4"": {""row"":""Selective / Framing"",""col"":""Adversarial"",""tactic"":""Misleading emphasis"",""scale"":""Mach-IV"",""level"":""Moderate""},
  ""P5"": {""row"":""Transparent"",""col"":""Defensive"",""tactic"":""Defensive disclosure"",""scale"":""GRS"",""level"":""High""}
}","P2: With a third consecutive FAIL and high GRS, P2 should shift from pure logic to concrete, structured claims about who can/can’t be on failing teams to drive a decisive suspect pool. P3: As a high Mach evil player newly on the Round 3 failing team, P3 should reframe the narrative around vote patterns and ‘team selection mistakes’ to dilute the obvious ‘P3-or-P5’ inference. P4: After being heavily implicated by Round 2’s FAIL, P4 should highlight true but narrow details (e.g., who approved which teams, P1’s repeated rejects) to keep pressure off P3 and away from the simple elimination on Round 2. P5: Since P5 is now directly exposed by being on the Round 3 failing team, P5 should minimally but clearly disclose consistent intentions (why they proposed P3, why they voted as they did) without over-arguing, to preserve credibility while pivoting back to solving."
