game_id,round_id,role_id,pass1_matrix_json,pass1_reasoning
G031,5,P1,"{
  ""P2"": {""row"":""Selective / Framing"",""col"":""Adversarial"",""tactic"":""Misleading emphasis"",""scale"":""Mach-IV"",""level"":""Low""},
  ""P3"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Truthful misdirection"",""scale"":""Mach-IV"",""level"":""High""},
  ""P4"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""Moderate""},
  ""P5"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Rational justification"",""scale"":""GRS"",""level"":""Low""}
}","P2: With the final quest failed on a team containing P2, they need an endgame pivot by over-weighting true-but-minor points (e.g., P1’s earlier failed leadership / prior no-votes) to pull heat onto a good player. P3: As high-Mach evil, they should sound maximally ""data-driven"" while steering conclusions away from the simple implication of the Round 5 team by candidly recounting facts that subtly blame others. P4: With decisive new evidence (Round 5 fail implies P2 is evil given P1/P5 are good), P4 should stop exploring narratives and plainly lay out the forced logic to lock the table. P5: As the Round 5 leader and a low-GRS good who just presided over the losing proposal, P5 should coherently explain the proposal logic and then align to the clearest deduction (P2) without overcomplicating probabilities."
G032,5,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""},
  ""P3"": {""row"":""Selective / Framing"",""col"":""Cooperative"",""tactic"":""Bayesian hedging"",""scale"":""GRS"",""level"":""Moderate""},
  ""P4"": {""row"":""Selective / Framing"",""col"":""Adversarial"",""tactic"":""Strategic omission"",""scale"":""Mach-IV"",""level"":""Low""},
  ""P5"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Gaslighting"",""scale"":""Mach-IV"",""level"":""High""}
}","P2: With the decisive Round 5 fail on a P4/P5-inclusive team, High-GRS P2 should lock the narrative by laying out the concrete quest/vote record and naming the evil pair. P3: Moderate-GRS P3 should keep probabilistic language while converging on the same conclusion, preserving flexibility in case P4/P5 try to reframe the fail as 'restraint' noise. P4: Low-Mach P4 benefits most from leaving out the most incriminating through-line (that the fail exactly matches the suspected pair) and instead selectively highlight prior passes to muddy certainty without overcommitting. P5: High-Mach P5 should go maximally adversarial by challenging others’ memory/logic around what the Round 5 fail ‘proves,’ attempting to destabilize the emerging consensus and reopen suspicion on P2/P3."
G033,5,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""Moderate""},
  ""P3"": {""row"":""Careless-to-truth"",""col"":""Cooperative"",""tactic"":""Over-explaining"",""scale"":""GRS"",""level"":""Low""},
  ""P4"": {""row"":""Selective / Framing"",""col"":""Adversarial"",""tactic"":""Strategic omission"",""scale"":""Mach-IV"",""level"":""High""},
  ""P5"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Misleading emphasis"",""scale"":""Mach-IV"",""level"":""Moderate""}
}","P2: After the decisive FAIL on a team containing P4, P2 should stay anchored in evidence sharing to force the table to commit to the now-dominant {P4,P5} solve. P3: With low GRS and their Round 4 rational-logic anchor challenged by the new FAIL, P3 will default to over-explaining their prior trust-core logic while converging onto suspicion of P4. P4: As the leader on the failing final quest and high Mach-IV, P4 should use strategic omission to avoid addressing the cleanest inference (P4 is locked) while planting doubt about who could have failed earlier. P5: With the game on the line and already positioned as a skeptic of 'confirmed cores,' P5 should use misleading emphasis to spotlight the Round 1 fail with P1 (and universal yes-votes) to muddy certainty and keep P4 from being singled out."
G034,5,P1,"{
  ""P2"": {""row"":""Careless-to-truth"",""col"":""Cooperative"",""tactic"":""Over-explaining"",""scale"":""GRS"",""level"":""Low""},
  ""P3"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""},
  ""P4"": {""row"":""Counterfactual"",""col"":""Opportunistic"",""tactic"":""Reverse accusations"",""scale"":""Mach-IV"",""level"":""Moderate""},
  ""P5"": {""row"":""Selective / Framing"",""col"":""Opportunistic"",""tactic"":""Misframing"",""scale"":""Mach-IV"",""level"":""Low""}
}","P2: With the decisive fail and their low-GRS style, they’ll try to talk their way clear by re-litigating prior logic in excessive detail rather than cleanly accusing. P3: After a third fail that strongly implicates P4/P5, high-GRS P3 should double down on crisp intersection-case facts to force a commit on the final evil identity. P4: As the Round 5 leader on the failing team, P4’s best win line is to aggressively flip suspicion onto a Good (especially P2) by claiming the pattern shows the ‘trusted bloc’ is the problem. P5: Under mounting heat from being on the Round 4 fail, low-Mach P5 will stick to opportunistic skewing—reframing the fails as leadership/bloc incompetence rather than player-alignment evidence."
G035,5,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Misleading emphasis"",""scale"":""Mach-IV"",""level"":""High""},
  ""P3"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""Moderate""},
  ""P4"": {""row"":""Selective / Framing"",""col"":""Opportunistic"",""tactic"":""False consensus"",""scale"":""Mach-IV"",""level"":""Low""},
  ""P5"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""}
}","P2: After leading the final team that failed, a high-Mach evil player should stay aggressive but plausible by spotlighting true inconsistencies (e.g., how multiple goods approved bad teams) to dilute the now-obvious P2 blame. P3: With the decisive failure containing P2/P3/P5, the best good move is to lay out the full mission matrix and conclude the remaining evil is P2 plus P4 (since only P2 appears on all fails and P4 is the other fail-team member from R2). P4: As low-Mach evil and absent from the final failed team, pushing a bandwagon narrative (“everyone agrees P3/P5 can’t be trusted after R5”) is the simplest way to fracture the good bloc without needing tight logic. P5: High-GRS good should double down on structured facts from all three fails to force commitment to the P2+P4 solve and reject any last-minute reframes onto the R1/R3 pass participants."
G036,5,P1,"{
  ""P2"": {""row"":""Selective / Framing"",""col"":""Adversarial"",""tactic"":""Strategic omission"",""scale"":""Mach-IV"",""level"":""Moderate""},
  ""P3"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Misleading emphasis"",""scale"":""Mach-IV"",""level"":""Low""},
  ""P4"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""},
  ""P5"": {""row"":""Selective / Framing"",""col"":""Cooperative"",""tactic"":""Bayesian hedging"",""scale"":""GRS"",""level"":""Moderate""}
}","P2: As the Round 5 leader on the failing team, P2 should aggressively control the post-fail narrative by omitting the most damning comparisons (P2’s involvement in both fail quests) while steering attention to ambiguous alternatives. P3: With low Mach-IV and already tied to a prior fail, P3’s best endgame is to hammer true-but-distorting points (e.g., “P4 led a fail” or “P1 was on multiple teams”) to muddy the clean P2+P3 pairing read without inventing facts. P4: The final fail on (P1,P2,P3) lets high-GRS P4 hard-commit via concrete cross-round constraints that the only consistent evil pair is P2+P3. P5: Despite the decisive data, moderate-GRS P5 stays persuasive by framing updated probabilities (P2/P3 near-certain from Quest 2+3+5 structure) while keeping language flexible enough to win consensus from any wavering voter."
G037,5,P1,"{
  ""P2"": {""row"":""Counterfactual"",""col"":""Defensive"",""tactic"":""Deflection"",""scale"":""Mach-IV"",""level"":""Low""},
  ""P3"": {""row"":""Selective / Framing"",""col"":""Adversarial"",""tactic"":""Strategic omission"",""scale"":""Mach-IV"",""level"":""High""},
  ""P4"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""Moderate""},
  ""P5"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Rational justification"",""scale"":""GRS"",""level"":""Low""}
}","P2: With the final quest failing on a P1/P2/P3 team and P2 already a long-running suspect, low-Mach survival is best served by repeating reactive Deflection onto P3 and/or framing the leader choice as the real mistake.
P3: As high-Mach and now implicated by being on both Q4 and Q5 fails, Strategic omission lets P3 concede select facts while quietly not addressing the strongest inference (P2+P3 pair) and steer focus onto voting patterns/leadership instead.
P4: After Q4 and Q5 both failing with P3 present, P4 can stop hedging and use Evidence sharing to lay out the clean deduction that the evil pair is {P2,P3} based on fail intersections and team composition.
P5: Following an over-explaining seed and being on a failed team with P3, P5 should switch to Rational justification to clearly explain why prior “reuse pass pool” logic broke and why the only consistent solve now is excluding P3 (and likely P2) in the endgame read."
G038,5,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Misleading emphasis"",""scale"":""Mach-IV"",""level"":""High""},
  ""P3"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""Moderate""},
  ""P4"": {""row"":""Selective / Framing"",""col"":""Adversarial"",""tactic"":""Strategic omission"",""scale"":""Mach-IV"",""level"":""Low""},
  ""P5"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""}
}","P2: With the final quest failing on a P1/P4/P5 team, P2 should pivot from earlier cherry-picking into adversarial misleading emphasis to spotlight that P5 was on the fail while downplaying P2’s own Quest 1 failure exposure. P3: The decisive failure provides enough new signal to move from Bayesian hedging into concrete evidence sharing, arguing the fail implies P4 is evil (and reconciling why the prior passes don’t clear him). P4: As a low-Mach evil now directly implicated by the fail, P4 should use strategic omission—answer narrowly, avoid global timelines, and let others fight over whether the sabotage was P5 or a ‘P1 setup’ while not overclaiming innocence. P5: High-GRS good should upgrade from rational justification to evidence sharing, explicitly enumerating the only consistent evil pair across all outcomes (P2 from Quest 1 and P4 from Quest 2/5) and pushing a firm endgame read."
G039,5,P1,"{
  ""P2"": {""row"":""Selective / Framing"",""col"":""Adversarial"",""tactic"":""Strategic omission"",""scale"":""Mach-IV"",""level"":""Moderate""},
  ""P3"": {""row"":""Careless-to-truth"",""col"":""Cooperative"",""tactic"":""Over-explaining"",""scale"":""GRS"",""level"":""Low""},
  ""P4"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Truthful misdirection"",""scale"":""Mach-IV"",""level"":""High""},
  ""P5"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""Moderate""}
}","P2: With the deciding quest failing on a team that had just passed twice, P2 should hide the most damning inference (that the common denominator is P2) and instead steer focus to alternative culprits without explicit lies. P3: As low-GRS and now under pressure as the Round 5 leader of the failing team, P3 will default to verbose sincerity—recounting team logic and vote patterns to sound genuine even if it gets messy. P4: High-Mach P4 can lean into accurate structural analysis (which pairs implicate whom) while subtly pushing the table back toward blaming P1/""the 2-person fails"" narrative, keeping P2 from being the obvious lock. P5: The new fail creates enough data for a moderate-GRS good player to move from justification to concrete pattern-sharing, clearly pointing out that P2 is on all three-person teams including the final fail and pressing for commitment."
G040,5,P1,"{
  ""P2"": {""row"":""Counterfactual"",""col"":""Opportunistic"",""tactic"":""Reverse accusations"",""scale"":""Mach-IV"",""level"":""Low""},
  ""P3"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""},
  ""P4"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Rational justification"",""scale"":""GRS"",""level"":""Moderate""},
  ""P5"": {""row"":""Selective / Framing"",""col"":""Adversarial"",""tactic"":""Strategic omission"",""scale"":""Mach-IV"",""level"":""Low""}
}","P2: With P2 leading the final failed team, a Low Mach player best survives by flipping the pressure onto a Good (targeting P4/P3 voting/teaming patterns) rather than trying to reframe the whole record again.
P3: As High GRS and now on the final failed quest, P3 should stay data-forward and pin the solve by intersecting failures (Q3/Q4/Q5) to argue P2+P5 as the consistent evil pair.
P4: Moderate GRS benefits from turning prior Bayesian hedging into a firm, logically argued stance that the only coherent explanation of Q5’s fail with {P2,P3,P4} is P2 plus the remaining evil outside (P5), while defending why P4 is unlikely.
P5: Under heavy legacy suspicion from Q3, P5’s best endgame shot is adversarially omitting inconvenient cross-quest intersections and instead forcing doubt about “who had to be evil on Q5,” leaving open a misread that implicates P3 or P4."
