game_id,round_id,round_summary
G031,5,"Round 5 Summary:
Leader: P5 | Team: P1, P2, P5 | Vote: Unanimous | Outcome: FAIL

P3 and P2 pointed to P1 and P5's presence on all failed quests, with P2 highlighting P1's sudden yes-vote on a team that immediately failed as proof of coordination. P5 and P4 countered by citing the mission logs, arguing that P2's participation in Rounds 1 and 5 and P3's sole presence on Round 4 mathematically identified them as the saboteurs. The final failure locked both sides into mutually incompatible accusations, with P3 and P2 blaming P1 and P5 while P5 and P4 blamed P2 and P3, leaving the group split with no path to consensus."
G032,5,"Round 5 Summary:
Leader: P1 | Team: P1, P4, P5 | Vote: Unanimous approval | Outcome: FAIL

P5 challenged the group's focus on P4 and P5 by arguing that Quest 4's success with both players disproves the suspicion, then redirected blame to P2 and P3 citing their presence on earlier failures. P4 emphasized being on two successful quests and also accused P2 and P3, while P2 countered by citing that P4 and P5 appeared together on two failed missions and likely coordinated a pass on Quest 4 to build credibility. P3 acknowledged uncertainty given P1's presence across most teams but concluded P4 and P5 were most likely responsible, creating a sharp final division with P2 and P3 united against P4 and P5's joint defense."
G033,5,"Round 5 Summary:
Leader: P4 | Team: P1, P3, P4 | Vote: Unanimous | Outcome: FAIL

P4 argued that P1 and P2 were the only players on multiple failed quests, while P5 pointed to P4 appearing on two of three fails as the consistent link and paired P4 with P1. P2 and P3 both countered by noting that Quests 2 and 4 passed with the same P1-P2-P3 core, meaning neither P1 nor P2 could be evil, and concluded P4 and P5 must be the pair since every fail included exactly one of them. The final consensus among P2 and P3 centered on P4 and P5, leaving P4 and P5 isolated as the primary suspects heading into endgame."
G034,5,"Round 5 Summary:
Leader: P4 | Team: P1, P2, P4 | Vote: Unanimous | Outcome: FAIL

P4 accused P2 and P5, claiming P2 quietly sat on both later fails while P5 absorbed blame, while P5 blamed P2 and P4, arguing the ""core group"" leaders engineered the fail opportunities and P4's final leadership was too convenient. P3 and P2 both independently accused P4 and P5 using quest intersection logic—P3 cited that P5 explained Quest 4's fail and P4 explained Quest 5's, while P2 emphasized the immediate Quest 3 fail after picking P4 as a test. The final round polarized into P4/P5 deflecting onto P2 versus P2/P3 converging on P4/P5, with P2 visibly frustrated at repeated suspicion."
G035,5,"Round 5 Summary:
Leader: P2 | Team: P2, P3, P5 | Vote: Approved (only P1 voted no) | Outcome: FAIL

P2 blamed P3 and P5 for the failure, arguing they engineered fails on any team with P2 to frame P2 as the constant, while P4 echoed this claim and called the P2/P4 pairing ""too convenient."" P3 and P5 both countered by citing P2's presence on all three failed quests (R2, R4, R5) and pointed to P4 as the second member based on R2's composition, with P5 emphasizing that P3's two passes made the P3/P5 accusation illogical. The round ended with P2 and P4 united against P3/P5, while P3 and P5 maintained P2/P4 were the pair, crystallizing a direct two-versus-two deadlock heading into endgame."
G036,5,"Round 5 Summary:
Leader: P2 | Team: P1, P2, P3 | Vote: Unanimous | Outcome: FAIL

P2 blamed P4 and P5, pointing to P4's Round 4 rejection and P5's Round 3 ""test"" as suspicious, while P3 echoed this by citing P4's leadership of the failed Round 2 quest and P5's consistent approvals. P4 and P5 both countered by tracing the failure pattern through the quest record, identifying P2 as the new addition in Round 2's fail and P3 as the new addition in Round 3's fail, with P5 acknowledging uncertainty due to Quest 4's success. The final declarations split sharply: P2 and P3 named P4 and P5, while P4 and P5 named P2 and P3, leaving P1 as the swing voice with no stated conclusion."
G037,5,"Round 5 Summary:
Leader: P1 | Team: P1, P2, P3 | Vote: Approved (P4 voted no) | Outcome: FAIL

P3 argued the common thread across failed quests was P1 and P2, omitting P3's own presence on the failed mission, while P2 deflected blame onto P1 and P5 for approving what P2 called a suspicious three-person team. P4 and P5 both converged on P2 and P3 as the pair responsible, citing P2's presence on Quest 1's failure and P3's appearance on Quest 4's failure, with P4 laying out the pattern across all three failed quests and P5 acknowledging that reusing the Quest 2–3 pool had backfired. The group split into two firm theories—P3 and P2 each blaming P1 plus one other, while P4 and P5 united behind suspecting P2 and P3—setting up entrenched conflict with no consensus heading into endgame."
G038,5,"Round 5 Summary:
Leader: P1 | Team: P1, P4, P5 | Vote: Unanimous | Outcome: FAIL

P2 argued P1 was the common thread across all failures and accused P3 of providing cover since Quest 2, while P4 countered that P2 deflected with vote optics instead of team composition and named P2 and P3 as the pair. P5 walked through the quest record to argue P2 failed Quest 1 and P4 banked passes on Quests 3 and 4 before sabotaging Quest 5, and P3 echoed this logic by highlighting that P2 and P4 were the only players who fit the failure pattern. The final accusations split sharply, with P2 and P4 each blaming P3 while P3 and P5 converged on P2 and P4 as the pair."
G039,5,"Round 5 Summary:
Leader: P3 | Team: P2, P3, P5 | Vote: Approved (only P1 voted no) | Outcome: FAIL

P4 argued that the trio's previous passes made P2 the most likely saboteur since P3 and P5 had been stable, while P2 deflected by pointing to P1's presence in both prior two-person failures and named P1 and P4 as the pair. P5 presented a detailed case that P2 and P4 each sabotaged separate quests, citing Quest 5's failure as proof P2 finally had to act, and P3 echoed this logic by vouching for P5's consistency and naming P2 and P4 as the final pair. By round's end, P2 stood isolated with all three other players converging on P2 and P4 as the suspected pair, though P2 continued to redirect blame toward P1."
G040,5,"Round 5 Summary:
Leader: P2 | Team: P2, P3, P4 | Vote: Approved (only P1 voted no) | Outcome: FAIL

P2 defended by highlighting P1's presence on all failed quests and arguing P1 and P5 were the pair, while P5 questioned the certainty of others and named P2 and P3 for narrative control. P3 cited the public quest record to argue that P2 and P5 were the only pair appearing across failures without requiring a sabotaged early pass, and P4 agreed, pointing to P2's presence on Q4 and Q5 and P5's on Q3. The group converged on P2 and P5 as the suspected pair, isolating P2's deflection and solidifying distrust toward both players heading into endgame."
