game_id,round_id,round_summary
G001,2,"Round 2 Summary:
Leader: P5 | Team: P2, P3, P5 | Vote: Approved (P1 voted no) | Outcome: FAIL
P4 immediately pointed to P2 as the common thread across both failures, while P2 countered by citing the vote record and noting that P4 approved both failed teams yet blamed others each time. P3 deflected by questioning why P4 was allowed on Quest 1 despite earlier warnings, and P5 expressed moderate suspicion toward P3 for prior teaming suggestions but acknowledged uncertainty about P2. The round ended with P2 and P4 in direct conflict over blame attribution, and P3 under growing scrutiny from P5 for earlier positioning behavior."
G002,2,"Round 2 Summary:
Leader: P5 | Team: P2, P3, P5 | Vote: Approved (P1 voted no) | Outcome: FAIL

P4 blamed P1 for both failing the first quest and voting against the second team, while P3 cited the overlapping quest memberships to argue P4 and P5 were the pair. P5 countered that one of the approving players (P2 or P3) must have sabotaged, and P2 explained voting yes was rational to avoid the Quest 1 suspects but now leaned toward P5 and P4 as the pair. Suspicion spread across all players with no clear consensus, leaving P1 isolated by voting behavior, P5 newly suspect for being on the failed quest, and P3's overlap logic pointing at P4 and P5."
G003,2,"Round 2 Summary:
Leader: P5 | Team: P2, P3, P5 | Vote: Approved but P1 voted no | Outcome: FAIL

P5 defended the team selection as choosing straightforward players after Quest 1, while P2 cited the overlap between failed quests to argue suspicion pointed at P4 or P5 rather than P2 or P3, and noted P1's lone no vote matched their suspicion of P5. P4 justified voting yes by claiming the Quest 1 composition made blame inevitable regardless of actions, while P3 applied logic to argue the fail indicated evil among the three-person team but likely not both P2 and P3, pointing suspicion primarily at P5 and secondarily at P4. The round solidified P2 and P3's alliance in defending each other while isolating P4 and P5 as the primary suspects, with P1's voting pattern reinforcing distrust of P5's leadership."
G004,2,"Round 2 Summary:
Leader: P5 | Team: P2, P3, P5 | Vote: Approved but P1 voted no | Outcome: FAIL

P4 pointed to P1's lone no-vote as suspicious distancing from a team P4 claimed P1 knew would fail, while P2 cited the overlap between failed quests to argue P1 remained the common thread. P5 explained placing P3 on the team to test P3's confidence from the previous round, and P3 defended the yes-vote by suggesting the failure likely came from players who had been excused rather than from P3 himself. Tension now centers on P1, who voted against both failed quests, versus P3, who served on the second failure and deflected blame outward."
G005,2,"Round 2 Summary:
Leader: P5 | Team: P2, P3, P5 | Vote: Approved (P1 voted no) | Outcome: FAIL

P3 blamed P2 for pushing a convenient narrative and pointed to P1's no vote as a warning the group ignored. P2 argued that the overlap between failed quests points to P3 and P4 as suspects, while P5 defended the decision to include herself as a known variable but acknowledged the outcome looked bad. P4 protested being blamed for Quest 1's failure and suggested P5's choice to include P3 was risky, leaving tension focused on P3, P4, and suspicion beginning to shift toward P5's leadership judgment."
G006,2,"Round 2 Summary:
Leader: P4 | Team: P2, P4, P5 | Vote: Approved (P1 voted no) | Outcome: FAIL

P3 highlighted that P4 appeared on both failed quests and suggested a pattern of blame-shifting, while P5 cited the voting record to argue P4 was the simplest common factor and the likeliest saboteur. P4 defended the team selection by explaining P2 and P5 seemed most trustworthy after Round 1, and P2 expressed confusion since P2 had advocated for this exact trio but now doubted whether removing P1 and P3 was the right call. Suspicion now centers heavily on P4, with P3 attempting to redirect scrutiny and P2 caught between trusting P4's rationale and questioning P2's own judgment."
G007,2,"Round 2 Summary:
Leader: P4 | Team: P2, P4, P5 | Vote: Approved but P1 voted no | Outcome: FAIL

P3 highlighted that P4 appeared on both failed quests and praised P1 for being the sole dissenter, while P2 pointed to P3 and P4 as the overlapping suspects across both missions. P4 challenged P2's logic by questioning why P2 approved the team if it seemed unsafe, and P5 expressed regret for supporting the proposal, calling out both P4 and P3 as no longer trustworthy. The round solidified P4 as the primary suspect, with P3 and P2 emerging as secondary points of contention heading into the next leader's decision."
G008,2,"Round 2 Summary:
Leader: P4 | Team: P2, P4, P5 | Vote: Approved (P1 voted no) | Outcome: FAIL

P3 deflected blame from the leaders onto P2 for greenlighting P4's inclusion, while P2 cited the quest records to argue at least one of P4 or P5 must be responsible since P2 claimed to be good. P4 pushed to exclude P3 from future teams and proposed P1-P2-P5 for the next round, while P5 over-explained why P5 had approved the team and insisted P4 was more suspicious. Trust in P4 eroded sharply, with P2 and P5 both pointing at P4 as the likely saboteur, though P3's aggressive deflection onto P2 introduced new tension that may carry forward."
G009,2,"Round 2 Summary:
Leader: P4 | Team: P2, P4, P5 | Vote: Approved but P1 voted no | Outcome: FAIL

P3 argued P1 was the common factor across both failed missions and questioned why P4 would sabotage their own team, while P2 cited the voting record to narrow suspicion to P4 or P5 and accused P4 of framing by pushing to drop both P1 and P3 last round. P4 defended the team rotation as necessary and redirected focus to P1's blocking vote, prompting P5 to lean toward P4 as the likely culprit and propose sitting out either P3 or P4 next round to isolate the source of the failures. Tension between P2 and P4 solidified, with P5's proposal to rotate out suspects setting the stage for next round's team composition debate."
G010,2,"Round 2 Summary:
Leader: P4 | Team: P2, P4, P5 | Vote: Approved but P1 voted no | Outcome: FAIL

P4 immediately deflected blame onto P1 for the lone rejection vote, while P5 cited the mission overlap to suspect P3 and P4 as the probable pair. P3 turned suspicion back onto P1 by highlighting P1's presence on the first failed mission and sole NO vote on the second, framing P1 as steering outcomes. P2 suggested removing both P3 and P4 from future teams to test the hypothesis, marking those two as the emerging targets while P1's cautious vote became a contested signal of either prudence or sabotage."
