game_id,round_id,round_summary
G021,4,"Round 4 Summary:
Leader: P4 | Team: P1, P2, P4 | Vote: Unanimous | Outcome: FAIL

P4 pointed to P1's presence on both failed teams and argued P1 and P3 were the pair, while P5 echoed this by emphasizing P3's involvement in two failures. P2 countered with a complete vote record showing P4 and P5 appeared on all three failed quests and argued Q2 passed as cover for P5, and P3 largely agreed with P2's logic while acknowledging residual uncertainty about P5 due to the Q2 pass. The group polarized into P4/P5 blaming P1/P3 versus P2/P3 suspecting P4/P5, with P1's silence leaving P1 as a contested figure heading into the final round."
G022,4,"Round 4 Summary:
Leader: P4 | Team: P1, P3, P4 | Vote: Unanimous | Outcome: FAIL

P4 pointed to P1's presence on two failed quests and accused P1 and P5, while P5 argued that P1's Round 2 rejection vote and quest pattern implicated P1 and P4. P2 and P3 both cited the clean Round 3 pass by P1/P3 and the fact that P4 appeared on two failures while P5 appeared on the other, converging on P4 and P5 as the pair. The accusation consensus settled firmly on P4 and P5, leaving them isolated and P1/P3 validated by their successful mission together."
G023,4,"Round 4 Summary:
Leader: P4 | Team: P1, P2, P4 | Vote: Approved (P3 voted no) | Outcome: FAIL

P4 blamed P2 and P3 by pointing to their leadership in earlier failed quests, while P5 echoed this by highlighting P3's presence on two failed missions. P3 acknowledged uncertainty but cited P4's appearance in both Quest 2 and Quest 4 failures as strong evidence, tentatively placing P5 as the second suspect from Quest 3's fail. P2 reinforced P3's logic by contrasting Quest 1's success with the failures when P4 joined, concluding P4 and P5 were responsible for all three fails."
G024,4,"Round 4 Summary:
Leader: P4 | Team: P1, P2, P4 | Vote: Unanimous | Outcome: FAIL

P4 blamed P1 as the common thread across both failed quests and flagged P3's unverifiable Round 3 claim, while P5 reinforced suspicion on P1 for rejecting the passing Round 2 team and pointed to P3 for deflecting. P2 and P3 both cited quest outcome patterns to argue that P4 and P5 were the likeliest pair, noting P4 appeared on two fails and led the final failed team while P5 passed Round 2 then immediately shifted blame after Round 3's failure. The group hardened into two camps: P4 and P5 insisting P1 plus P3, versus P2 and P3 countering with P4 and P5."
G025,4,"Round 4 Summary:
Leader: P4 | Team: P1, P3, P4 | Vote: Approved but P2 voted no | Outcome: FAIL

P4 acknowledged being the only new variable between the Round 3 pass and Round 4 fail but redirected blame onto P2 and P5, citing the Round 2 failure. P5 accused P4 and P3 of story-twisting, arguing P3 only looked cleared by hiding behind P1. P2 and P3 both cited the voting record and quest outcomes to argue P4's presence was the mechanical difference that caused the fail, with P2 and P3 converging on P4 and P5 as the pair while P5 pushed back by trying to implicate P3 alongside P4."
G026,4,"Round 4 Summary:
Leader: P1 | Team: P1, P3, P5 | Vote: Unanimous | Outcome: PASS

P3 argued the Quest 2 fail clearly pinned to P2 and P4 as the only pairing that explained the failure pattern, while P4 accused P2 of leading a ""lock out P4"" campaign and claimed P2 and P5 were manufacturing the narrative. P2 cited the public record to argue P4 was the saboteur and P3 was protecting P4 by keeping the table divided, while P5 maintained P3's passes were strategic restraint and accused P3 and P4 as the pair. The final accusations split into two camps—P3/P4 blaming P2, versus P2/P5 accusing P3 and P4—with no clear consensus heading into the endgame."
G027,4,"Round 4 Summary:
Leader: P3 | Team: P1, P3, P5 | Vote: Unanimous | Outcome: PASS

P4 argued that P5's clean pass proved P5 couldn't be evil and pivoted blame onto P2 and P3 as a hidden pair, while P5 echoed that the Round 3 failure was a trap and accused P2 and P4 of muddying the waters. P3 countered by citing the Round 3 failure and P4's lone dissent in Round 2 to name P4 and P5, while P2 pointed to the same Round 2 baseline and argued P4's skepticism and P5's convenient Round 4 pass were coordinated misdirection. The divide hardened into two competing camps: P4 and P5 deflecting onto P2/P3, versus P2 and P3 turning all suspicion back onto P4 and P5."
G028,4,"Round 4 Summary:
Leader: P4 | Team: P3, P4, P5 | Vote: Unanimous | Outcome: PASS

P3 argued the only concrete fail came from Quest 1 with P1 and P2, pointing to P5 as quietly steering votes without scrutiny, while P2 defended their subsequent passes and named P1 and P5 as the pair. P4 cited P2's presence on the lone fail and P3's presence on all passes as evidence both might be choosing not to sabotage, naming P2 and P3, while P5 landed on P2 for the early fail and P3 for deflecting blame. The final accusations split sharply: P3 targeted P1/P5, P2 targeted P1/P5, P4 targeted P2/P3, and P5 targeted P2/P3, leaving P2 and P3 under the most combined suspicion heading into the final round."
G029,4,"Round 4 Summary:
Leader: P2 | Team: P2, P3, P4 | Vote: Unanimous | Outcome: PASS

P5 argued that P2 had been steering blame since Quest 2's failure and that unanimous votes should raise suspicion, while P4 reinforced this by questioning P2's consistent certainty about villains. P2 countered by citing the facts that both Quest 3 and Quest 4 passed without P5, making P3 likely trustworthy and showing P4 chose not to sabotage, while P3 concluded that P5 remained most suspect for the Quest 2 failure and P4 was next for avoiding clear commitments. The dynamic left P2 and P3 aligned against P5 and P4, with P1 positioned as the swing voice heading into the final round."
G030,4,"Round 4 Summary:
Leader: P5 | Team: P2, P3, P5 | Vote: Unanimous | Outcome: PASS

P5 argued that the clean explanation was P4 plus P2, claiming P2 had been steering suspicion across all approved teams, while P4 countered by highlighting that the only failure paired P4 with P1 and that P5's subsequent pass suggested P5 and P3 were the pair. P2 and P3 both accused P4 and P5, with P2 pointing to P5's earlier defense of P4 in Round 3 as coordinated cover and P3 emphasizing that the failure only occurred when P4 joined a mission. The debate solidified into two competing theories—P5 and P4 each deflecting onto the established ""core"" players versus P2 and P3 uniting around P4 and P5 as the pair—setting up a final-round clash over whether to trust the consistent mission participants or the players present during the lone failure."
G031,4,"Round 4 Summary:
Leader: P4 | Team: P3, P4, P5 | Vote: Approved but P1 voted no | Outcome: FAIL

P2 challenged P1's pattern of voting no and avoiding scrutiny while teams that included P1 failed, arguing P1's opposition shouldn't be treated as automatically trustworthy. P4 acknowledged the frustration but methodically narrowed the fail to P3 or P5, while P3 argued that passing twice on earlier quests made it illogical for P3 to sabotage now and suggested the saboteur needed cover in a three-person team. P5 leaned toward suspecting P3 as the only overlap between the last passing team and this failure, but admitted uncertainty and proposed testing P3 or P5 directly on the next mission. The round left P3 under the strongest suspicion, though P1's voting pattern also drew renewed distrust from P2."
G032,4,"Round 4 Summary:
Leader: P5 | Team: P1, P4, P5 | Vote: Approved (P2, P3 voted no) | Outcome: PASS

P5 pointed to the quest's success as evidence against the P4/P5 pairing accusations and redirected blame toward P2 and P3's earlier leadership choices, while P2 responded by analyzing the full quest history to argue P4's participation in both passes suggested deliberate restraint and P5 must have caused the Round 2 failure. P4 dismissed the restraint theory as refusal to update on clear evidence, but P3 remained skeptical and pushed for a locked P1/P2/P3 team to isolate the noise. The round ended with P2 and P3 aligned on eliminating P4 and P5 from future teams, while P4 and P5 continued to contest the accusations and defend their quest records."
G033,4,"Round 4 Summary:
Leader: P3 | Team: P1, P2, P3 | Vote: Approved (P4, P5 voted no) | Outcome: PASS

P4 argued the pass didn't confirm the trio as trustworthy and pointed to the pattern that fails occurred when outsiders joined, while P2 presented cross-quest analysis suggesting P4 and P5 fit the failure pattern since the P1/P2/P3 core passed twice. P5 noted that P5 and P4 were the only no-votes and reminded the group that P1 was on the first failed quest, while P3 defended repeating the trio to avoid uncertainty and observed that both dissenters voting no made sense if they wanted to stay relevant. Trust in the P1/P2/P3 coalition strengthened, but P4 and P5 remain vocal challengers heading into the next round."
